연번,업소명,소재지,Latitude,Longitude,취급품목,전화번호,지정일자
1,홍고집흑염소,"광주광역시 북구 삼정로 42, 1층 (두암동)",35.1657266,126.9373617,"흑염소탕, 전골",062-268-8253,2019-07-31
2,나능이능이버섯백숙(전대점),"광주광역시 북구 설죽로171번길 7, (용봉동,(1층))",35.1749611,126.8955195,백숙,062-528-3335,2019-03-26
3,완도전복일번지,"광주광역시 서구 마륵복개로 157, 2층 (쌍촌동)",35.1457071,126.8503118,"돈까스, 스테이크",062-366-0300,2016-11-18
4,송학한정식,"광주광역시 서구 상무중앙로 101, (치평동, 2층 201호)",35.1448708,126.9086187,"한정식, 굴비정식",062-385-3333,2016-11-18
5,청원모밀직영점,"광주광역시 서구 상무화원로 1, 1층 (치평동)",35.1443782,126.8410098,"마른모밀, 모밀국수",062-381-1960,2016-11-18
6,메이홍,"광주광역시 북구 하서로 447, (용두동)",35.2142843,126.87321,"짜장면, 짬뽕",062-572-7100,2016-12-02
7,깐깐한족발,"광주광역시 광산구 첨단중앙로116번길 46, (월계동)",35.2156026,126.8453153,"족발, 보쌈",062-973-0369,2016-12-01
8,신락원,"광주광역시 서구 운천로 15, (금호동,(오층))",35.1339716,126.8589381,"자장면, 코스요리",062-384-6849,2016-11-18
9,깐깐한족발,"광주광역시 광산구 첨단중앙로116번길 46, (월계동)",35.2156026,126.8453153,"족발, 보쌈",062-973-0369,2016-12-01
10,깐깐한족발,"광주광역시 광산구 첨단중앙로116번길 46, (월계동)",35.2156026,126.8453153,"족발, 보쌈",062-973-0369,2016-12-01
11,조은날,"광주광역시 서구 상무연하로 47, (치평동,(이층))",35.1524959,126.8499786,"한정식, 굴비정식",062-385-8300,2016-11-18
12,초유지,"광주광역시 북구 하서로523번길 11, (용두동)",35.2210738,126.8784704,돼지갈비,062-571-1137,2016-12-02
13,한우꽃,"광주광역시 남구 백운로 67-2, 1-2층 (백운동)",35.1393235,126.9053964,"생고기, 꽃등심, 갈비살",062-368-9292,2016-06-30
14,민속식당선운점,"광주광역시 광산구 선운로20번길 53, 2~3층 (선암동)",35.1447165,126.7819503,"갈비, 냉면",062-944-9233,2016-12-01
15,국일관,"광주광역시 북구 대자로 54, (운암동)",35.1732107,126.8783652,"생고기, 등심",062-528-3156,2016-12-02
16,오계절,"광주광역시 남구 봉선로79번길 3, 1층 (주월동)",35.1266647,126.9064238,굴비정식,062-671-8785,2015-10-29
17,생태전문생태야생태,"광주광역시 서구 계수로51번길 8, 1층 (쌍촌동)",35.161163,126.8563995,생태탕,062-371-0441,2015-11-16
18,현대옥광산우산점,"광주광역시 광산구 무진대로 239, 1층 (우산동)",35.1623101,126.8068301,콩나물국밥,062-945-8598,2015-11-03
19,황금진땡이광주본점,"광주광역시 광산구 풍영철길로 15, (우산동,콜롬버스월드206호)",35.1630165,126.8115216,코다리조림,062-952-2276,2015-11-03
20,금수저은수저,"광주광역시 광산구 신창로166번길 24, (신창동,(1층))",35.198222,126.8423494,한정식,062-951-0204,2015-04-03
21,통파이브첨단점,"광주광역시 광산구 첨단중앙로106번길 65-3, 1층 101호 (월계동)",35.2150565,126.8465543,"치킨,피자",062-974-3939,2015-07-16
22,다연,"광주광역시 북구 비엔날레로 183-5, (용봉동)",35.1825007,126.8970545,"굴비정식, 한정식",062-267-0110,2015-11-13
23,백년미가(유촌점),"광주광역시 서구 유덕로28번길 18, 1층 (유촌동)",35.1657607,126.8531974,"한정식, 계절요리",062-946-3392,2015-11-16
24,하누연가,"광주광역시 서구 상무대로 653, 1층 (마륵동)",35.1410305,126.8528536,"소고기구이, 비빔밥",062-372-9090,2015-11-16
25,약수한방삼계탕,"광주광역시 북구 북문대로 173, (운암동, 1층)",35.1838303,126.8708534,삼계탕,062-529-7700,2015-11-13
26,불타는복돼지,"광주광역시 북구 대천로 124-9, 1층 (문흥동)",35.1852303,126.921001,오겹살,062-265-2220,2015-11-13
27,청도,"광주광역시 남구 봉선중앙로91번길 9-7, 1층 (봉선동)",35.1287597,126.9100472,"탕수육, 짬뽕",062-223-6131,2015-02-17
28,놀부보쌈우산점,"광주광역시 광산구 풍영철길로 15, 3층 301호 (우산동, 콜롬버스월드)",35.1628683,126.8117119,보쌈,062-611-7382,2014-11-24
29,주식회사 인디(Indy),"광주광역시 서구 상무대로867번길 28, 1층 (치평동)",35.1515959,126.8564451,인도음식,062-376-7052,2014-10-22
30,주식회사 인디(Indy),"광주광역시 서구 상무대로867번길 28, 1층 (치평동)",35.1515959,126.8564451,인도음식,062-376-7052,2014-10-22
31,일송정,"광주광역시 광산구 동곡로185번길 6, (하산동,(1층))",35.0961063,126.7644536,꽃게장백반,062-943-2000,2014-11-24
32,신락원,"광주광역시 광산구 풍영로200번길 9, 2층 (장덕동)",35.1897759,126.816393,"팔보채, 난자완스",062-953-6848,2014-11-24
33,(주)연경,"광주광역시 광산구 하남산단3번로 133-8, (장덕동,(지하1층))",35.1900557,126.8091674,코스요리,062-951-9600,2014-11-24
34,(주)패밀리농원,"광주광역시 북구 우치로 565, (일곡동)",35.2101698,126.8975201,삼겹살,062-574-6677,2014-12-02
35,모아매력한우명품관,"광주광역시 서구 금화로 240, (풍암동, 지하1층)",35.1331745,126.8766135,"소고기, 비빔밥",062-682-3399,2014-10-22
36,절기밥상,"광주광역시 북구 하서로672번길 45, (용전동,(1층))",35.2352845,126.891456,한정식,062-574-8220,2014-12-02
37,유자골 순한우,"광주광역시 광산구 첨단중앙로124번길 60, (월계동,(1층))",35.2163228,126.845505,"꽃등심, 생고기, 갈비",062-956-3392,2014-11-24
38,피가로(전남대점),"광주광역시 북구 우치로 112, (용봉동,(2층))",35.1804047,126.9012071,"스테이크, 파스타",062-264-1789,2014-12-02
39,궁,"광주광역시 광산구 송도로85번길 22, 1층 (도산동)",35.1272537,126.7862217,"파스타,필라프",062-944-1980,2014-11-24
40,옥돌,"광주광역시 북구 동문대로 9-9, (우산동, 1,2층)",35.1773999,126.9273765,오리탕,062-522-7781,2014-12-02
41,제주참숯생갈비,"광주광역시 남구 용대로53번길 8, (봉선동,(1층))",35.121274,126.9170245,삼겹살,062-675-8206,2014-12-01
42,(주)해동활어,"광주광역시 서구 상무대로 653-1, 1층 (마륵동)",35.141986,126.8365673,"회 정식,",062-571-4400,2014-10-22
43,웰빙마을수완점,"광주광역시 광산구 임방울대로 261, (신가동,(2층))",35.2007133,126.82877,"한우갈비찜, 불고기정식",062-959-9297,2014-11-24
44,동선풍천장어,"광주광역시 북구 삼소로 352, (월출동,(1,2층))",35.2466386,126.8724807,장어,062-572-7892,2014-12-02
45,달봉이회수산,"광주광역시 광산구 첨단중앙로152번길 31-16, (쌍암동,B동(1층))",35.2203066,126.844248,생선회,062-972-2292,2013-10-31
46,황솔촌수완점,"광주광역시 광산구 장신로19번안길 23, 1층 (장덕동)",35.1914468,126.8131494,돼지갈비,062-943-9233,2013-10-31
47,맛존예찬,"광주광역시 광산구 임방울대로826번길 29-25, (쌍암동,(1층))",35.2161966,126.8501385,전복요리,062-972-5788,2013-10-31
48,오리하우스,"광주광역시 광산구 용아로380번길 55, 1층 (산정동)",35.1857652,126.8030859,오리전골,062-951-5263,2013-10-31
49,신송떡갈비,"광주광역시 광산구 광산로19번길 26, (송정동,(1층))",35.1387674,126.793536,떡갈비,062-942-1666,2013-10-31
50,전원왕족발&보쌈,"광주광역시 북구 대자실로 11-4, 1층 (운암동, 외1필지)",35.1779488,126.8734652,"족발, 보쌈",062-514-2549,2013-05-27
51,함양옻닭,"광주광역시 북구 금재로29번길 13, (유동,(1층))",35.1582465,126.9072152,한방백숙,062-515-5757,2013-05-27
52,함양옻닭,"광주광역시 북구 금재로29번길 13, (유동,(1층))",35.1582465,126.9072152,한방백숙,062-515-5757,2013-05-27
53,장흥한우촌,"광주광역시 북구 무등로154번길 13, (신안동)",35.165664,126.9004498,"등심구이, 갈비살",062-528-4209,2013-05-27
54,나정상회,"광주광역시 서구 상무자유로 24, (치평동,(1,2,3층))",35.151183,126.8367154,돼지갈비,062-944-1489,2013-11-06
55,아리랑 하우스,"광주광역시 동구 무등로321번길 2, (계림동,(1,2층))",35.1621652,126.9184677,한정식,062-529-2888,2013-10-24
56,광양숯불구이,"광주광역시 서구 상무대로867번길 23, (치평동,(이.삼층))",35.1516635,126.8556467,한우숯불구이,062-375-9292,2013-11-06
57,행님굴비,"광주광역시 동구 필문대로123번길 5, 1층 (산수동)",35.1598835,126.9315853,"불고기정식,굴비정식",062-233-5515,2013-10-24
58,해뜰날포차,"광주광역시 북구 저불로 81, 1층 (용봉동)",35.1817439,126.8953191,생선회,062-523-7903,2013-05-27
59,해궁,"광주광역시 광산구 풍영로229번길 53, (장덕동,(1층))",35.1919742,126.8109555,전복구이,062-955-5562,2013-10-31
60,해궁,"광주광역시 광산구 풍영로229번길 53, (장덕동,(1층))",35.1919742,126.8109555,전복구이,062-955-5562,2013-10-31
61,황솔촌상무점,"광주광역시 서구 운천로 143, 1층 (쌍촌동, 외2필지)",35.1431591,126.8578302,"돼지갈비, 냉면",062-376-9233,2012-10-23
62,진부령황태고을,"광주광역시 남구 봉선2로 10, (봉선동,(1층))",35.1252593,126.9074069,"황태구이, 황태탕",062-655-2112,2011-11-18
63,전복궁,"광주광역시 남구 서문대로 695, (진월동)",35.121384,126.898181,참전복정식,062-674-3838,2011-11-18
64,채선당,"광주광역시 남구 봉선로 205, (봉선동,(1층)104,121,122,123,124호)",35.1228279,126.9177138,쇠고기 샤브샤브,062-672-1500,2011-11-18
65,이바돔감자탕(노대점),"광주광역시 남구 효우로 87, (노대동,(2층))",35.1055081,126.9046224,감자탕,062-675-8824,2011-11-18
66,황실장가계,"광주광역시 북구 일곡마을로 171, (일곡동)",35.2105452,126.8929028,"자장면, 탕수육",062-576-4749,2011-11-01
67,자미원,"광주광역시 북구 일곡마을로111번길 34, 1층 (일곡동)",35.2084646,126.8888455,돼지갈비,062-573-6040,2011-11-01
68,대박추어탕,"광주광역시 북구 일곡마을로 180, (일곡동,(지상1층))",35.2102364,126.8938361,추어탕,062-575-4688,2011-11-01
69,녹색한우식당,"광주광역시 북구 일곡마을로 163, 1층 (일곡동)",35.2104677,126.8918264,소고기,062-571-8253,2011-11-01
70,큰나무집,"광주광역시 북구 일곡로41번길 41, (일곡동)",35.2089917,126.8911831,삼계탕,062-576-2333,2011-11-01
71,등촌,"광주광역시 북구 우치로 142, 1층 (용봉동)",35.1788397,126.9129504,버섯쇠고기샤브샤브,062-269-9234,2011-11-01
72,채선당(용봉점),"광주광역시 북구 설죽로 211, 가동 1층 (용봉동)",35.1785914,126.8971556,샤브샤브,062-515-9012,2011-11-01
73,장군,"광주광역시 북구 청계로 81, 1층 (용봉동)",35.1802798,126.8929247,참치회,062-575-8885,2011-11-01
74,람바다,"광주광역시 서구 상무연하로 49, (치평동,(일.이층))",35.1527595,126.849856,회덮밥,062-375-8085,2011-10-27
75,노담지숯불갈비,"광주광역시 북구 대천로 140-6, (문흥동)",35.1863808,126.9214426,돼지갈비,062-266-9233,2011-11-01
76,노담지숯불갈비,"광주광역시 북구 대천로 140-6, (문흥동)",35.1863808,126.9214426,돼지갈비,062-266-9233,2011-11-01
77,델리하우스,"광주광역시 서구 상무누리로 30, 2층 (치평동)",35.1467445,126.8409323,뷔페식,062-611-3333,2011-10-27
78,영락공원구내식당,"광주광역시 북구 영락공원로 170, (효령동)",35.2310092,126.9161306,육개장,062-575-5660,2010-09-02
79,남동숯불갈비(양산점),"광주광역시 북구 연양로105번길 28, (양산동,(지상1층))",35.2087914,126.8801011,돼지갈비,062-575-2110,2010-09-02
80,남동숯불갈비(양산점),"광주광역시 북구 연양로105번길 28, (양산동,(지상1층))",35.2087914,126.8801011,돼지갈비,062-575-2110,2010-09-02
81,낙지한마당,"광주광역시 북구 설죽로217번길 6-3, (용봉동,(지상1층))",35.179368,126.8969135,낙지전골,062-525-5335,2010-09-02
82,낙지한마당,"광주광역시 북구 설죽로217번길 6-3, (용봉동,(지상1층))",35.179368,126.8969135,낙지전골,062-525-5335,2010-09-02
83,이영미궁중한방삼계탕,"광주광역시 북구 서하로 156, 1층 (용봉동)",35.186839,126.8977491,삼계탕,062-513-9292,2010-09-02
84,참치조치,"광주광역시 북구 저불로 36, (용봉동,(지상1층))",35.1775379,126.8955011,참치회,062-526-5572,2010-09-02
85,신화청국장,"광주광역시 남구 백서로 50-1, (양림동,양천1길139)",35.137582,126.9139073,청국장,062-653-4720,2010-06-30
86,해담촌,"광주광역시 북구 참판로 91, (두암동)",35.1659959,126.9329247,"소고기, 돼지고기",062-268-6692,2010-09-02
87,어울림숯불구이,"광주광역시 서구 상무시민로 129, (치평동,(일층))",35.1554434,126.8533131,돼지갈비,062-385-5292,2010-07-01
88,어울림숯불구이,"광주광역시 서구 상무시민로 129, (치평동,(일층))",35.1554434,126.8533131,돼지갈비,062-385-5292,2010-07-01
89,빈드럭스,"광주광역시 동구 지호로124번길 32, (지산동,(2층))",35.1469813,126.9438498,양탕,062-382-2400,2010-06-30
90,빈드럭스,"광주광역시 동구 지호로124번길 32, (지산동,(2층))",35.1469813,126.9438498,양탕,062-382-2400,2010-06-30
91,제일중화요리,"광주광역시 동구 구성로 174, 1,2층 (금남로5가)",35.1544587,126.9116066,짜장면,062-224-6670,2010-06-30
92,금다연,"광주광역시 서구 상무연하로 72, (치평동,골든유토피아2층(202호))",35.1546015,126.8504625,한정식,062-385-0002,2010-07-01
93,돈부리 바쇼 아카츠키,"광주광역시 동구 중앙로160번길 16-5, (불로동,(1층))",35.1467724,126.9147562,찜닭,062-233-3378,2010-06-30
94,열도지,"광주광역시 동구 제봉로82번길 17, 1층 (서석동)",35.1470991,126.9231321,짜장면,062-227-5888,2010-06-30
95,우가미가,"광주광역시 광산구 왕버들로 141, (수완동,676-30(1층,2층))",35.2010659,126.826062,꽃등심,062-961-9933,2010-06-30
96,대명한우촌,"광주광역시 서구 월드컵4강로 234, (쌍촌동,(일층))",35.1571219,126.8696322,소고기,062-376-2112,2010-07-01
97,제주삼다갈치,"광주광역시 동구 구성로204번길 28, (대인동,(1층))",35.1516378,126.9166849,조림,062-225-2332,2010-06-30
98,황솔촌 충장점,"광주광역시 동구 중앙로160번길 16-10, 1~2층 (호남동)",35.1472186,126.9140976,식육(돼지갈비),062-222-4815,2009-06-30
99,씨제이푸드빌(주) 빕스광주상무점,"광주광역시 서구 시청로 57, 5층 (치평동)",35.1536234,126.8512051,"스테이크,셀러드바",062-376-1997,2009-06-30
100,명지원명가,"광주광역시 서구 운천로 237, (치평동,(일,이층))",35.1536294,126.8544899,꽃등심,062-383-7599,2009-06-30
101,종가집 설렁탕,"광주광역시 서구 시청로20번길 10, (치평동,(1층))",35.1501267,126.8527973,설렁탕,062-374-0015,2009-06-30
102,종가집 설렁탕,"광주광역시 서구 시청로20번길 10, (치평동,(1층))",35.1501267,126.8527973,설렁탕,062-374-0015,2009-06-30
103,종가집 설렁탕,"광주광역시 서구 시청로20번길 10, (치평동,(1층))",35.1501267,126.8527973,설렁탕,062-374-0015,2009-06-30
104,영빈관,"광주광역시 서구 풍암순환로128번길 75, 지상2층 (풍암동)",35.1285985,126.8853826,한정식,062-384-6000,2009-06-30
105,파파샤브,"광주광역시 서구 운천로 111, (쌍촌동,(단층))",35.1424203,126.8574101,샤브샤브,062-381-8788,2009-06-30
106,(주)캘리스코 사보텐 광주신세계,"광주광역시 서구 무진대로 932, 지하1층 (광천동, 신세계백화점)",35.1605431,126.8826817,돈까스,062-360-1970,2009-01-02
107,씨제이푸드빌(주)빕스광주충장로점,"광주광역시 동구 천변우로 421, 2층 (불로동)",35.1463559,126.9149924,경양식(샐러드),062-224-1997,2009-06-30
108,신락원,"광주광역시 동구 충장로 45-9, 외3필지 2층 (충장로5가)",35.1506403,126.9132948,중국식(탕수육),062-225-9408,2009-06-30
109,목포복집,"광주광역시 동구 구성로 150, (수기동,(1층))",35.1504824,126.9097169,한식백반,062-223-8544,2009-06-30
110,바푸리포(전대점),"광주광역시 북구 호동로 3-2, (용봉동)",35.1746871,126.9131638,"김밥,덮밥",062-268-8295,2009-09-10
